Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,1326,24
California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,1800,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2167.2,6
Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,2611.2,2
Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1200,0
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3234,0
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1171.2,1
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,1990.8,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,3986.5,0
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,1120,1
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,2796.5,0
Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,1795.8,0
Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,1695.8,0
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,148750,89
Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,59500,97
Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,107100,2981
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-06-01,2017-12-31,21426,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-03-01,2017-12-31,3000,0
Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,1230.8,22
Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,2567,9
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1698.9,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,1542.3,3
Central and Northeastern Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,1626.6,0
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,1603.1,5
Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,1508,0
Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,1107.8,0
Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,2578.7,0
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,1838.7,0
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,1189,0
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,27840,53
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,28971,49
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,3528.2,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,2018-12-31,27840,106
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-23,2019-02-25,1435.6,2
Texas Hail Storm (March 2019),Severe Storm,2019-03-22,2019-03-24,1765.3,0
Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,2019-03-31,12443.3,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,2019-04-14,1427.3,7
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,1726,0
Central Severe Weather (May 2019),Severe Storm,2019-05-16,2019-05-18,1109.2,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-26,2019-05-29,5127.7,3
Arkansas River Flooding (June 2019),Flooding,2019-05-20,2019-06-14,3448.5,5
Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,2019-07-05,1149.1,0
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,2019-07-31,7094.6,4
Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,1835.4,10
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,5700,5
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2019-10-20,1958.4,2
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,2019-11-30,5130,3
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,1298.6,10
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-05,2020-02-07,1419.6,3
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,2020-03-04,2639.7,25
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,2020-03-28,2890.8,0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,2020-04-08,3284.3,0
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,3926.2,35
Southern Severe Weather (April 2020),Severe Storm,2020-04-21,2020-04-23,1539,3
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-27,2020-04-30,1170.7,1
Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,2020-05-05,2408.7,2
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-20,2020-05-23,1805.9,2
South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,2020-05-27,1596,0
Central Severe Weather (July 2020),Severe Storm,2020-07-10,2020-07-11,1351.7,0
Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,1204,0
Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,5328,16
Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,2020-08-10,12460.6,4
Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,26000.8,42
Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,8147,5
Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,3211,5
Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,4874.3,6
Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,1635.2,12
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-08-01,2020-12-30,18424,46
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,2020-12-30,5034.4,45
California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,2021-01-29,1226.4,2
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-10,2021-02-19,25181.8,262
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,1844.7,6
Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,2021-03-28,1480.6,8
Texas Hail Storms (April 2021),Severe Storm,2021-04-12,2021-04-15,1622.5,0
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,2021-04-28,3463.9,0
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,1378,4
Louisiana Flooding (May 2021),Flooding,2021-05-17,2021-05-18,1450.9,5
Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,2021-06-18,1843.6,0
Central Severe Storms (June 2021),Severe Storm,2021-06-24,2021-06-26,1353.1,0
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,1298.2,1
Central Severe Storms (July 2021),Severe Storm,2021-07-08,2021-07-11,1155.8,0
North Central Severe Weather (August 2021),Severe Storm,2021-08-10,2021-08-13,1374.1,2
Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,1366.6,7
Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,78722.3,96
Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,1087.2,0
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,4110.9,93
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2021-12-15,1871.3,1
Western Drought and Heat Wave (2021),Drought,2021-01-01,2021-12-31,9442.6,229
Western Wildfires (2021),Wildfire,2021-06-01,2021-12-31,11232,8
Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,2022-03-30,1281.1,2
Southeastern Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,1409.3,3
Southern Severe Weather (April 2022),Severe Storm,2022-04-11,2022-04-13,2677.7,1
Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,2022-05-03,1139,1
North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2022-05-09,1929.1,0
North Central Severe Weather (May 2022),Severe Storm,2022-05-11,2022-05-12,2588.7,1
North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2022-05-19,1839,0
Central Severe Weather (June 2022),Severe Storm,2022-06-07,2022-06-08,1837,0
Central Derecho (June 2022),Severe Storm,2022-06-13,2022-06-13,2936,1
North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,2022-07-24,1294,1
Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,2022-07-28,1195,42
