date,GSCPI,USCS,USUR,USIR,USPCE,covid_new_cases,weather,holiday
2017-05-28,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
2017-05-29,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
2017-05-30,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
2017-05-31,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
2017-06-01,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-02,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-03,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-04,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-05,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-06,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-07,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-08,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-09,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-10,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-11,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-12,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-13,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-14,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-15,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-16,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-17,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-18,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-19,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-20,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-21,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-22,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-23,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-24,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-25,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-26,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-06-27,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-28,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-29,0.1432,95,4.3,0.0163,13170.3,0,1,0
2017-06-30,0.1432,95,4.3,0.0163,13170.3,0,0,0
2017-07-01,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-02,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-03,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-04,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-05,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-06,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-07,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-08,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-09,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-10,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-11,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-12,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-13,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-14,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-15,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-16,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-18,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-19,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-20,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-21,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-22,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-23,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-24,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-25,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-26,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-27,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-28,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-29,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-30,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-07-31,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
2017-08-01,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-02,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-03,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-04,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-05,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-06,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-07,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-08,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-09,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-10,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-11,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-12,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-13,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-14,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-15,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-16,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-18,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-19,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-20,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-21,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-22,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-23,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-24,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
2017-08-25,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-08-26,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-08-27,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-08-28,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-08-29,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-08-30,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-08-31,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
2017-09-01,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
2017-09-02,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
2017-09-03,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
2017-09-04,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
2017-09-05,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
2017-09-06,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-07,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-08,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-09,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-10,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-11,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-12,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
2017-09-13,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
