Month,YYYY,ICS_ALL
January,2017,98.5
February,2017,96.3
March,2017,96.9
April,2017,97
May,2017,97.1
June,2017,95
July,2017,93.4
August,2017,96.8
September,2017,95.1
October,2017,100.7
November,2017,98.5
December,2017,95.9
January,2018,95.7
February,2018,99.7
March,2018,101.4
April,2018,98.8
May,2018,98
June,2018,98.2
July,2018,97.9
August,2018,96.2
September,2018,100.1
October,2018,98.6
November,2018,97.5
December,2018,98.3
January,2019,91.2
February,2019,93.8
March,2019,98.4
April,2019,97.2
May,2019,100
June,2019,98.2
July,2019,98.4
August,2019,89.8
September,2019,93.2
October,2019,95.5
November,2019,96.8
December,2019,99.3
January,2020,99.8
February,2020,101
March,2020,89.1
April,2020,71.8
May,2020,72.3
June,2020,78.1
July,2020,72.5
August,2020,74.1
September,2020,80.4
October,2020,81.8
November,2020,76.9
December,2020,80.7
January,2021,79
February,2021,76.8
March,2021,84.9
April,2021,88.3
May,2021,82.9
June,2021,85.5
July,2021,81.2
August,2021,70.3
September,2021,72.8
October,2021,71.7
November,2021,67.4
December,2021,70.6
January,2022,67.2
February,2022,62.8
March,2022,59.4
April,2022,65.2
May,2022,58.4
June,2022,50
July,2022,51.5
August,2022,58.2
September,2022,58.6
October,2022,59.9
November,2022,56.8
December,2022,59.7
