date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2020-01-22,1,,,,,,0.003,,,,,
2020-01-23,1,0,,,,,0.003,0,,,,
2020-01-24,2,1,,,,,0.006,0.003,,,,
2020-01-25,2,0,,,,,0.006,0,,,,
2020-01-26,5,3,,,,,0.015,0.009,,,,
2020-01-27,5,0,,,,,0.015,0,,,,
2020-01-28,5,0,0.571,,,,0.015,0,0.002,,,
2020-01-29,6,1,0.714,,,,0.018,0.003,0.002,,,
2020-01-30,6,0,0.714,,,,0.018,0,0.002,,,
2020-01-31,8,2,0.857,,,,0.024,0.006,0.003,,,
2020-02-01,8,0,0.857,,,,0.024,0,0.003,,,
2020-02-02,8,0,0.429,,,,0.024,0,0.001,,,
2020-02-03,11,3,0.857,,,,0.033,0.009,0.003,,,
2020-02-04,11,0,0.857,,,,0.033,0,0.003,,,
2020-02-05,11,0,0.714,,,,0.033,0,0.002,,,
2020-02-06,12,1,0.857,,,,0.035,0.003,0.003,,,
2020-02-07,12,0,0.571,,,,0.035,0,0.002,,,
2020-02-08,12,0,0.571,,,,0.035,0,0.002,,,
2020-02-09,12,0,0.571,,,,0.035,0,0.002,,,
2020-02-10,12,0,0.143,,,,0.035,0,0,,,
2020-02-11,13,1,0.286,,,,0.038,0.003,0.001,,,
2020-02-12,13,0,0.286,,,,0.038,0,0.001,,,
2020-02-13,14,1,0.286,,,,0.041,0.003,0.001,,,
2020-02-14,14,0,0.286,,,,0.041,0,0.001,,,
2020-02-15,14,0,0.286,,,,0.041,0,0.001,,,
2020-02-16,14,0,0.286,,,,0.041,0,0.001,,,
2020-02-17,14,0,0.286,,,,0.041,0,0.001,,,
2020-02-18,14,0,0.143,,,,0.041,0,0,,,
2020-02-19,14,0,0.143,,,,0.041,0,0,,,
2020-02-20,14,0,0,,,,0.041,0,0,,,
2020-02-21,16,2,0.286,,,,0.047,0.006,0.001,,,
2020-02-22,16,0,0.286,,,,0.047,0,0.001,,,
2020-02-23,16,0,0.286,,,,0.047,0,0.001,,,
2020-02-24,16,0,0.286,,,,0.047,0,0.001,,,
2020-02-25,16,0,0.286,,,,0.047,0,0.001,,,
2020-02-26,16,0,0.286,,,,0.047,0,0.001,,,
2020-02-27,17,1,0.429,,,,0.05,0.003,0.001,,,
2020-02-28,17,0,0.143,,,,0.05,0,0,,,
2020-02-29,25,8,1.286,1,1,,0.074,0.024,0.004,0.003,0.003,
2020-03-01,32,7,2.286,1,0,,0.095,0.021,0.007,0.003,0,
2020-03-02,55,23,5.571,6,5,,0.163,0.068,0.016,0.018,0.015,
2020-03-03,74,19,8.286,7,1,,0.219,0.056,0.024,0.021,0.003,
2020-03-04,107,33,13,11,4,,0.316,0.098,0.038,0.033,0.012,
2020-03-05,184,77,23.857,12,1,1.714,0.544,0.228,0.071,0.035,0.003,0.005
2020-03-06,237,53,31.429,14,2,2,0.701,0.157,0.093,0.041,0.006,0.006
2020-03-07,403,166,54,17,3,2.286,1.191,0.491,0.16,0.05,0.009,0.007
2020-03-08,519,116,69.571,21,4,2.857,1.534,0.343,0.206,0.062,0.012,0.008
2020-03-09,594,75,77,22,1,2.286,1.756,0.222,0.228,0.065,0.003,0.007
2020-03-10,782,188,101.143,28,6,3,2.312,0.556,0.299,0.083,0.018,0.009
2020-03-11,1147,365,148.571,33,5,3.143,3.391,1.079,0.439,0.098,0.015,0.009
2020-03-12,1586,439,200.286,43,10,4.429,4.688,1.298,0.592,0.127,0.03,0.013
2020-03-13,2219,633,283.143,51,8,5.286,6.559,1.871,0.837,0.151,0.024,0.016
2020-03-14,2978,759,367.857,58,7,5.857,8.803,2.244,1.087,0.171,0.021,0.017
2020-03-15,3212,234,384.714,70,12,7,9.495,0.692,1.137,0.207,0.035,0.021
2020-03-16,4679,1467,583.571,97,27,10.714,13.831,4.337,1.725,0.287,0.08,0.032
2020-03-17,6512,1833,818.571,134,37,15.143,19.25,5.418,2.42,0.396,0.109,0.045
2020-03-18,9169,2657,1146,194,60,23,27.104,7.854,3.388,0.573,0.177,0.068
2020-03-19,13663,4494,1725.286,266,72,31.857,40.388,13.284,5.1,0.786,0.213,0.094
2020-03-20,20030,6367,2544.429,372,106,45.857,59.21,18.821,7.521,1.1,0.313,0.136
2020-03-21,26025,5995,3292.429,475,103,59.571,76.931,17.721,9.733,1.404,0.304,0.176
2020-03-22,34944,8919,4533.143,603,128,76.143,103.296,26.365,13.4,1.782,0.378,0.225
2020-03-23,46096,11152,5916.714,790,187,99,136.262,32.966,17.49,2.335,0.553,0.293
2020-03-24,56714,10618,7171.714,1033,243,128.429,167.649,31.387,21.2,3.054,0.718,0.38
2020-03-25,68841,12127,8524.571,1366,333,167.429,203.497,35.848,25.199,4.038,0.984,0.495
2020-03-26,86662,17821,10428.429,1783,417,216.714,256.177,52.68,30.827,5.271,1.233,0.641
2020-03-27,105253,18591,12174.714,2305,522,276.143,311.133,54.956,35.989,6.814,1.543,0.816
2020-03-28,127417,22164,14484.571,3018,713,363.286,376.65,65.518,42.817,8.921,2.108,1.074
2020-03-29,143544,16127,15514.286,3573,555,424.286,424.323,47.672,45.861,10.562,1.641,1.254
2020-03-30,165698,22154,17086,4280,707,498.571,489.811,65.488,50.507,12.652,2.09,1.474
2020-03-31,192079,26381,19337.857,5359,1079,618,567.794,77.983,57.164,15.841,3.19,1.827
2020-04-01,227893,35814,22721.714,6996,1637,804.286,673.662,105.868,67.166,20.68,4.839,2.378
2020-04-02,260169,32276,24786.714,8545,1549,966,769.071,95.409,73.271,25.259,4.579,2.856
2020-04-03,292609,32440,26765.143,9973,1428,1095.429,864.965,95.894,79.119,29.481,4.221,3.238
2020-04-04,324328,31719,28130.143,11593,1620,1225,958.728,93.763,83.154,34.269,4.789,3.621
2020-04-05,353103,28775,29937,13216,1623,1377.571,1043.788,85.06,88.495,39.067,4.798,4.072
2020-04-06,385094,31991,31342.286,14979,1763,1528.429,1138.355,94.567,92.649,44.279,5.212,4.518
2020-04-07,415244,30150,31880.714,17585,2606,1746.571,1227.48,89.125,94.241,51.982,7.703,5.163
2020-04-08,446488,31244,31227.857,19737,2152,1820.143,1319.839,92.359,92.311,58.343,6.361,5.38
2020-04-09,482510,36022,31763,21993,2256,1921.143,1426.321,106.483,93.893,65.012,6.669,5.679
2020-04-10,516699,34189,32012.857,24207,2214,2033.429,1527.385,101.064,94.631,71.557,6.545,6.011
2020-04-11,545678,28979,31621.429,26311,2104,2102.571,1613.049,85.663,93.474,77.776,6.22,6.215
2020-04-12,571536,25858,31204.714,28194,1883,2139.714,1689.486,76.437,92.243,83.343,5.566,6.325
2020-04-13,598780,27244,30526.571,30195,2001,2173.714,1770.021,80.534,90.238,89.258,5.915,6.426
2020-04-14,627277,28497,30290.429,32676,2481,2155.857,1854.259,84.238,89.54,96.592,7.334,6.373
2020-04-15,653652,26375,29594.857,35300,2624,2223.286,1932.225,77.966,87.484,104.348,7.757,6.572
2020-04-16,683325,29673,28687.857,37487,2187,2213.429,2019.939,87.715,84.803,110.813,6.465,6.543
2020-04-17,716473,33148,28539.143,39591,2104,2197.714,2117.926,97.987,84.363,117.033,6.22,6.497
2020-04-18,743798,27325,28302.857,41534,1943,2174.714,2198.7,80.774,83.665,122.776,5.744,6.429
2020-04-19,768833,25035,28185.286,43501,1967,2186.714,2272.705,74.005,83.317,128.591,5.815,6.464
2020-04-20,799486,30653,28672.286,45787,2286,2227.429,2363.317,90.612,84.757,135.348,6.758,6.584
2020-04-21,825427,25941,28307.143,48239,2452,2223.286,2439.999,76.683,83.677,142.597,7.248,6.572
2020-04-22,855373,29946,28817.286,50704,2465,2200.571,2528.521,88.522,85.185,149.883,7.287,6.505
2020-04-23,887423,32050,29156.857,53132,2428,2235,2623.262,94.741,86.189,157.061,7.177,6.607
2020-04-24,918920,31497,28921,55196,2064,2229.286,2716.369,93.107,85.492,163.162,6.101,6.59
2020-04-25,949511,30591,29387.571,56935,1739,2200.143,2806.797,90.428,86.871,168.302,5.141,6.504
2020-04-26,975376,25865,29506.143,58350,1415,2121.286,2883.255,76.458,87.221,172.485,4.183,6.271
2020-04-27,1000114,24738,28661.143,59837,1487,2007.143,2956.382,73.127,84.724,176.881,4.396,5.933
2020-04-28,1024641,24527,28459.143,62069,2232,1975.714,3028.885,72.503,84.127,183.479,6.598,5.84
2020-04-29,1051440,26799,28009.571,64443,2374,1962.714,3108.104,79.219,82.798,190.496,7.018,5.802
2020-04-30,1080999,29559,27653.714,66635,2192,1929,3195.482,87.378,81.746,196.976,6.48,5.702
2020-05-01,1115845,34846,28132.143,68515,1880,1902.714,3298.488,103.006,83.16,202.533,5.557,5.625
2020-05-02,1142454,26609,27563.286,70258,1743,1903.286,3377.145,78.657,81.478,207.686,5.152,5.626
2020-05-03,1166033,23579,27236.714,71461,1203,1873,3446.846,69.701,80.513,211.242,3.556,5.537
2020-05-04,1190053,24020,27134.143,72831,1370,1856.286,3517.85,71.004,80.21,215.292,4.05,5.487
2020-05-05,1214105,24052,27066.286,75010,2179,1848.714,3588.949,71.099,80.009,221.733,6.441,5.465
2020-05-06,1238495,24390,26722.143,77331,2321,1841.143,3661.047,72.098,78.992,228.594,6.861,5.443
2020-05-07,1266120,27625,26445.857,79237,1906,1800.286,3742.708,81.661,78.175,234.228,5.634,5.322
2020-05-08,1293257,27137,25344.571,81006,1769,1784.429,3822.926,80.218,74.92,239.457,5.229,5.275
2020-05-09,1317402,24145,24992.571,82477,1471,1745.571,3894.299,71.374,73.879,243.806,4.348,5.16
2020-05-10,1336095,18693,24294.571,83478,1001,1716.714,3949.557,55.257,71.816,246.765,2.959,5.075
2020-05-11,1355353,19258,23614.286,84504,1026,1667.571,4006.484,56.928,69.805,249.798,3.033,4.929
2020-05-12,1378837,23484,23533.143,86096,1592,1583.714,4075.904,69.42,69.565,254.504,4.706,4.682
2020-05-13,1398905,20068,22915.714,87791,1695,1494.286,4135.226,59.322,67.74,259.514,5.01,4.417
2020-05-14,1424783,25878,22666.143,89560,1769,1474.714,4211.723,76.497,67.002,264.743,5.229,4.359
2020-05-15,1449610,24827,22336.143,91188,1628,1454.571,4285.112,73.39,66.027,269.556,4.812,4.3
2020-05-16,1473495,23885,22299,92357,1169,1411.429,4355.717,70.605,65.917,273.011,3.456,4.172
2020-05-17,1492122,18627,22289.571,93172,815,1384.857,4410.78,55.062,65.889,275.421,2.409,4.094
2020-05-18,1514513,22391,22737.143,94394,1222,1412.857,4476.968,66.189,67.212,279.033,3.612,4.176
2020-05-19,1535062,20549,22317.857,95822,1428,1389.429,4537.712,60.744,65.973,283.254,4.221,4.107
2020-05-20,1557900,22838,22713.571,97292,1470,1357.286,4605.222,67.51,67.142,287.6,4.345,4.012
2020-05-21,1582993,25093,22601.429,98474,1182,1273.429,4679.398,74.176,66.811,291.094,3.494,3.764
2020-05-22,1606824,23831,22459.143,99678,1204,1212.857,4749.844,70.446,66.39,294.653,3.559,3.585
2020-05-23,1626709,19885,21887.714,100756,1078,1199.857,4808.625,58.781,64.701,297.839,3.187,3.547
2020-05-24,1646821,20112,22099.857,101395,639,1174.714,4868.077,59.452,65.328,299.728,1.889,3.473
2020-05-25,1665995,19174,21640.286,101995,600,1085.857,4924.756,56.679,63.97,301.502,1.774,3.21
2020-05-26,1684687,18692,21375,102648,653,975.143,4980.01,55.254,63.185,303.432,1.93,2.883
2020-05-27,1703488,18801,20798.286,104100,1452,972.571,5035.587,55.577,61.481,307.724,4.292,2.875
2020-05-28,1724617,21129,20232,105166,1066,956,5098.045,62.458,59.807,310.875,3.151,2.826
2020-05-29,1749394,24777,20367.143,106275,1109,942.429,5171.287,73.242,60.206,314.154,3.278,2.786
2020-05-30,1772108,22714,20771.286,107223,948,923.857,5238.431,67.144,61.401,316.956,2.802,2.731
2020-05-31,1790871,18763,20578.571,107846,623,921.571,5293.895,55.464,60.831,318.798,1.842,2.724
2020-06-01,1808724,17853,20389.857,108613,767,945.429,5346.669,52.774,60.273,321.065,2.267,2.795
2020-06-02,1828784,20060,20585.286,109584,971,990.857,5405.968,59.298,60.851,323.935,2.87,2.929
2020-06-03,1847869,19085,20625.857,110584,1000,926.286,5462.384,56.416,60.971,326.891,2.956,2.738
2020-06-04,1875676,27807,21579.857,111582,998,916.571,5544.582,82.199,63.791,329.841,2.95,2.709
2020-06-05,1902014,26338,21802.857,112452,870,882.429,5622.439,77.856,64.45,332.413,2.572,2.608
2020-06-06,1922168,20154,21437.143,113090,638,838.143,5682.015,59.576,63.369,334.299,1.886,2.478
2020-06-07,1939976,17808,21300.714,113550,460,814.857,5734.656,52.641,62.966,335.659,1.36,2.409
2020-06-08,1956893,16917,21167,114052,502,777,5784.664,50.007,62.571,337.143,1.484,2.297
2020-06-09,1977231,20338,21206.714,114961,909,768.143,5844.784,60.12,62.688,339.83,2.687,2.271
2020-06-10,1999007,21776,21591.143,115819,858,747.857,5909.154,64.371,63.824,342.366,2.536,2.211
2020-06-11,2021316,22309,20805.714,116630,811,721.143,5975.101,65.946,61.503,344.764,2.397,2.132
2020-06-12,2046870,25554,20693.714,117453,823,714.429,6050.64,75.539,61.172,347.196,2.433,2.112
2020-06-13,2070999,24129,21261.571,118159,706,724.143,6121.966,71.326,62.85,349.283,2.087,2.141
2020-06-14,2089950,18951,21424.857,118507,348,708.143,6177.986,56.02,63.333,350.312,1.029,2.093
2020-06-15,2111055,21105,22023.143,118905,398,693.286,6240.373,62.387,65.101,351.489,1.177,2.049
2020-06-16,2135694,24639,22637.571,119681,776,674.286,6313.207,72.834,66.918,353.782,2.294,1.993
2020-06-17,2162776,27082,23395.571,120422,741,657.571,6393.263,80.056,69.158,355.973,2.19,1.944
2020-06-18,2191016,28240,24242.857,121119,697,641.286,6476.742,83.479,71.663,358.033,2.06,1.896
2020-06-19,2222002,30986,25018.857,121750,631,613.857,6568.338,91.596,73.957,359.898,1.865,1.815
2020-06-20,2253864,31862,26123.571,122313,563,593.429,6662.523,94.186,77.222,361.563,1.664,1.754
2020-06-21,2279722,25858,27110.286,122632,319,589.286,6738.961,76.437,80.139,362.506,0.943,1.742
2020-06-22,2309714,29992,28379.857,123011,379,586.571,6827.618,88.658,83.892,363.626,1.12,1.734
2020-06-23,2348601,38887,30415.286,123741,730,580,6942.57,114.952,89.909,365.784,2.158,1.715
2020-06-24,2384910,36309,31733.429,124496,755,582,7049.901,107.331,93.805,368.016,2.232,1.72
2020-06-25,2424262,39352,33320.857,125047,551,561.143,7166.227,116.326,98.498,369.645,1.629,1.659
2020-06-26,2473333,49071,35904.429,125676,629,560.857,7311.283,145.056,106.135,371.504,1.859,1.658
2020-06-27,2514151,40818,37183.857,126175,499,551.714,7431.943,120.66,109.917,372.979,1.475,1.631
2020-06-28,2557065,42914,39620.429,126498,323,552.286,7558.799,126.856,117.12,373.934,0.955,1.633
2020-06-29,2598615,41550,41271.571,126869,371,551.143,7681.623,122.824,122.001,375.03,1.097,1.629
2020-06-30,2648654,50039,42864.714,127418,549,525.286,7829.54,147.918,126.71,376.653,1.623,1.553
2020-07-01,2697987,49333,44725.286,128120,702,517.714,7975.371,145.831,132.21,378.728,2.075,1.53
2020-07-02,2753062,55075,46971.429,128862,742,545,8138.175,162.804,138.85,380.922,2.193,1.611
2020-07-03,2804707,51645,47339.143,129541,679,552.143,8290.84,152.665,139.937,382.929,2.007,1.632
2020-07-04,2850722,46015,48081.571,129848,307,524.714,8426.862,136.022,142.131,383.837,0.908,1.551
2020-07-05,2904667,53945,49657.429,130171,323,524.714,8586.326,159.464,146.79,384.791,0.955,1.551
2020-07-06,2948306,43639,49955.857,130556,385,526.714,8715.325,128.999,147.672,385.929,1.138,1.557
2020-07-07,3005731,57425,51011,131700,1144,611.714,8885.076,169.751,150.791,389.311,3.382,1.808
2020-07-08,3066216,60485,52604.143,132542,842,631.714,9063.872,178.796,155.5,391.8,2.489,1.867
2020-07-09,3126023,59807,53280.143,133578,1036,673.714,9240.664,176.792,157.498,394.863,3.062,1.992
2020-07-10,3194765,68742,55722.571,134383,805,691.714,9443.869,203.204,164.718,397.242,2.38,2.045
2020-07-11,3255185,60420,57780.429,135136,753,755.429,9622.473,178.604,170.802,399.468,2.226,2.233
2020-07-12,3315401,60216,58676.286,135613,477,777.429,9800.474,178.001,173.45,400.878,1.41,2.298
2020-07-13,3375026,59625,60960,136056,443,785.714,9976.728,176.254,180.2,402.188,1.31,2.323
2020-07-14,3440762,65736,62147.286,136951,895,750.143,10171.047,194.319,183.71,404.833,2.646,2.217
2020-07-15,3507051,66289,62976.429,137912,961,767.143,10367,195.953,186.161,407.674,2.841,2.268
2020-07-16,3577810,70759,64541,138883,971,757.857,10576.167,209.167,190.786,410.544,2.87,2.24
2020-07-17,3644250,66440,64212.143,139806,923,774.714,10772.567,196.4,189.814,413.273,2.728,2.29
