DATE,PCE
1/1/17,13020.4
2/1/17,13038.6
3/1/17,13089.3
4/1/17,13114.1
5/1/17,13117.6
6/1/17,13170.3
7/1/17,13193.5
8/1/17,13234.1
9/1/17,13353.4
10/1/17,13383.4
11/1/17,13479.8
12/1/17,13609
1/1/18,13628.4
2/1/18,13668.3
3/1/18,13735.4
4/1/18,13792.1
5/1/18,13860.2
6/1/18,13900.2
7/1/18,13952.3
8/1/18,14001.1
9/1/18,14013
10/1/18,14096.5
11/1/18,14160.6
12/1/18,14051.7
1/1/19,14090
2/1/19,14113.9
3/1/19,14233.8
4/1/19,14272.6
5/1/19,14322.1
6/1/19,14376.6
7/1/19,14448.3
8/1/19,14487
9/1/19,14511.2
10/1/19,14554.2
11/1/19,14613.8
12/1/19,14689.2
1/1/20,14728.8
2/1/20,14785.7
3/1/20,13806
4/1/20,12082.4
5/1/20,13129.4
6/1/20,13937.5
7/1/20,14230.1
8/1/20,14352.8
9/1/20,14583.3
10/1/20,14626.1
11/1/20,14561
12/1/20,14571.1
1/1/21,14932.2
2/1/21,14843.2
3/1/21,15619.1
4/1/21,15712.6
5/1/21,15767.9
6/1/21,15960.1
7/1/21,16027.9
8/1/21,16146
9/1/21,16268
10/1/21,16473.7
11/1/21,16557.9
12/1/21,16522.4
1/1/22,16725.6
2/1/22,16844.5
3/1/22,17054.2
4/1/22,17115.6
5/1/22,17231.1
6/1/22,17437.4
7/1/22,17420.3
8/1/22,17550.9
9/1/22,17656.8
10/1/22,17808.3
11/1/22,17828.1
